gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120905_DAL@NYG,4,14,49,NYG,DAL,1,10,62,RUN,10,17,2012,,,
20120905_DAL@NYG,4,14,13,NYG,DAL,2,10,62,PASS,10,17,2012,,,
20120905_DAL@NYG,4,1,24,DAL,NYG,2,11,62,RUN,24,17,2012,,,
20120905_DAL@NYG,1,47,12,NYG,DAL,1,10,63,PASS,0,0,2012,,,
20120905_DAL@NYG,2,41,57,DAL,NYG,2,11,63,RUN,0,0,2012,,,
20120905_DAL@NYG,4,10,46,DAL,NYG,2,5,63,PASS,17,10,2012,,,
20120905_DAL@NYG,1,50,54,DAL,NYG,2,8,64,PENALTY,0,0,2012,,,
20120905_DAL@NYG,2,35,28,DAL,NYG,4,6,64,PUNT,0,3,2012,,,
20120905_DAL@NYG,2,37,20,DAL,NYG,2,7,65,PENALTY,0,3,2012,,,
20120905_DAL@NYG,2,33,11,DAL,NYG,2,2,65,PASS,0,3,2012,,,
20120905_DAL@NYG,4,0,38,DAL,NYG,3,14,65,RUN,24,17,2012,,,
20120905_DAL@NYG,1,51,33,DAL,NYG,1,10,66,RUN,0,0,2012,,,
20120905_DAL@NYG,4,2,17,DAL,NYG,3,2,66,PENALTY,24,17,2012,,,
20120905_DAL@NYG,3,22,52,NYG,DAL,1,10,67,PASS,3,14,2012,,,
20120905_DAL@NYG,2,37,59,DAL,NYG,1,10,68,RUN,0,3,2012,,,
20120905_DAL@NYG,4,11,27,DAL,NYG,1,10,68,RUN,17,10,2012,,,
20120905_DAL@NYG,3,28,42,DAL,NYG,1,10,69,PASS,7,3,2012,,,
20120905_DAL@NYG,1,50,39,DAL,NYG,2,13,69,PASS,0,0,2012,,,
20120905_DAL@NYG,3,28,0,DAL,NYG,2,10,69,RUN,7,3,2012,,,
20120905_DAL@NYG,2,30,54,NYG,DAL,1,10,70,PASS,3,7,2012,,,
20120905_DAL@NYG,2,36,52,DAL,NYG,2,12,70,RUN,0,3,2012,,,
20120905_DAL@NYG,2,30,48,NYG,DAL,2,10,70,PASS,3,7,2012,,,
20120905_DAL@NYG,4,5,21,NYG,DAL,2,1,70,PASS,10,24,2012,,,
20120905_DAL@NYG,4,5,14,NYG,DAL,3,1,70,RUN,10,24,2012,,,
20120905_DAL@NYG,3,29,25,DAL,NYG,2,1,71,RUN,7,3,2012,,,
20120905_DAL@NYG,2,33,34,DAL,NYG,1,10,73,PENALTY,0,3,2012,,,
20120905_DAL@NYG,1,58,7,DAL,NYG,2,7,73,PASS,0,0,2012,,,
20120905_DAL@NYG,3,23,46,NYG,DAL,2,6,73,PASS,3,14,2012,,,
20120905_DAL@NYG,3,19,35,DAL,NYG,2,3,73,RUN,14,10,2012,,,
20120905_DAL@NYG,4,2,26,DAL,NYG,2,9,73,RUN,24,17,2012,,,
20120905_DAL@NYG,2,36,6,DAL,NYG,3,15,73,PASS,0,3,2012,,,
20120905_DAL@NYG,4,2,31,DAL,NYG,1,10,74,RUN,24,17,2012,,,
20120905_DAL@NYG,4,2,11,DAL,NYG,3,10,74,PASS,24,17,2012,,,
20120905_DAL@NYG,3,24,11,NYG,DAL,2,8,75,PASS,PENALTY,3,14,2012,,
20120905_DAL@NYG,1,58,44,DAL,NYG,1,10,76,RUN,0,0,2012,,,
20120905_DAL@NYG,2,30,4,NYG,DAL,3,16,76,RUN,3,7,2012,,,
20120905_DAL@NYG,3,24,47,NYG,DAL,1,10,77,RUN,3,14,2012,,,
